target,dependency,mi_score,strategy
FIT502,PIT501,0.5129150390520207,same_stage
FIT502,FIT501,0.5105265025298431,same_stage
FIT502,PIT503,0.5012343350908965,same_stage
FIT502,FIT503,0.43921548088147944,same_stage
FIT503,PIT503,1.3972822575298824,same_stage
FIT503,PIT501,1.3248648611958336,same_stage
FIT503,AIT502,1.1896853690415856,same_stage
FIT503,FIT501,1.1081834289365853,same_stage
FIT503,AIT504,0.9172221814769133,same_stage
FIT504,FIT501,0.8317814936330379,same_stage
FIT504,AIT502,0.7424443223593027,same_stage
FIT504,FIT503,0.6746510863153228,same_stage
FIT504,PIT503,0.6133513487649349,same_stage
FIT504,PIT501,0.6007655729805759,same_stage
PIT501,PIT503,2.584539359650625,same_stage
PIT501,AIT502,1.8235693427664064,same_stage
PIT501,AIT501,1.4279918527208642,same_stage
PIT501,FIT503,1.3244883713520759,same_stage
PIT501,FIT501,1.2137375392357885,same_stage
PIT502,AIT502,0.9092389414503295,same_stage
PIT502,AIT501,0.8721350414397708,same_stage
PIT502,AIT504,0.4764073789734775,same_stage
PIT502,PIT501,0.44325714047422693,same_stage
PIT502,PIT503,0.43866086395136783,same_stage
PIT503,PIT501,2.5855109046234555,same_stage
PIT503,AIT502,1.8340381047064254,same_stage
PIT503,AIT501,1.4282617660967052,same_stage
PIT503,FIT503,1.3991719233009583,same_stage
PIT503,AIT504,1.1747318534089706,same_stage
FIT601,P602,0.04219909528806021,same_stage
FIT601,P603,0.0007758886611766158,same_stage
FIT601,P601,0.0,same_stage
