target,dependency,mi_score,strategy
AIT402,AIT503,1.8510640190355545,adjacent_stage
AIT402,PIT501,1.2426504946345815,adjacent_stage
AIT402,AIT504,1.196915203956518,adjacent_stage
FIT401,FIT501,1.3839091926600764,adjacent_stage
FIT401,PIT501,0.7081559003311355,adjacent_stage
FIT401,AIT501,0.6972625722594277,adjacent_stage
FIT401,PIT503,0.6390085541716033,adjacent_stage
FIT401,AIT402,0.635455125554687,adjacent_stage
LIT401,LIT301,1.5516269303387444,adjacent_stage
LIT401,AIT503,1.3232486046948235,adjacent_stage
LIT401,AIT402,1.0951715700631333,adjacent_stage
LIT401,AIT501,1.0239360705864398,adjacent_stage
LIT401,AIT502,0.9726519702761784,adjacent_stage
AIT501,AIT402,2.723493845065171,adjacent_stage
AIT501,AIT502,2.4134896941001296,adjacent_stage
AIT501,AIT503,1.7709128296477932,adjacent_stage
AIT501,PIT501,1.427457399770729,adjacent_stage
AIT501,PIT503,1.4271305868797421,adjacent_stage
AIT502,AIT402,3.5116330152396724,adjacent_stage
AIT502,AIT501,2.414073780956226,adjacent_stage
AIT502,AIT503,2.1041414374224114,adjacent_stage
AIT502,PIT503,1.8340705501927648,adjacent_stage
AIT502,PIT501,1.8229258499641636,adjacent_stage
AIT503,AIT402,2.362427313776137,adjacent_stage
AIT503,AIT502,2.104813736170681,adjacent_stage
AIT503,AIT501,1.7708039522549663,adjacent_stage
AIT503,PIT501,1.131538874703356,adjacent_stage
AIT503,LIT401,1.127468420287859,adjacent_stage
AIT504,AIT402,1.718854570067494,adjacent_stage
AIT504,AIT502,1.5445274176377861,adjacent_stage
AIT504,AIT501,1.358768801868603,adjacent_stage
AIT504,PIT501,1.1909035469511942,adjacent_stage
AIT504,PIT503,1.1747566356915176,adjacent_stage
FIT501,FIT401,1.8214480651694958,adjacent_stage
FIT501,AIT402,1.4768396615727069,adjacent_stage
FIT501,AIT502,1.3171994165775214,adjacent_stage
FIT501,PIT501,1.2138125516122953,adjacent_stage
FIT501,PIT503,1.1475617559685425,adjacent_stage
FIT502,AIT402,0.5844002119508245,adjacent_stage
FIT502,AIT502,0.5387730776234756,adjacent_stage
FIT502,PIT501,0.5130631972324098,adjacent_stage
FIT502,FIT501,0.5095443599832752,adjacent_stage
FIT502,FIT401,0.5023204850487115,adjacent_stage
FIT503,PIT503,1.397350397917065,adjacent_stage
FIT503,PIT501,1.3258484099831422,adjacent_stage
FIT503,AIT402,1.3142376007957957,adjacent_stage
FIT503,AIT502,1.189773652074332,adjacent_stage
FIT503,FIT501,1.106765539701314,adjacent_stage
FIT504,FIT501,0.8311260768260791,adjacent_stage
FIT504,FIT401,0.8159413737664423,adjacent_stage
FIT504,AIT402,0.8046706372790151,adjacent_stage
FIT504,AIT502,0.7437072109435192,adjacent_stage
FIT504,FIT503,0.6755803586187534,adjacent_stage
PIT501,PIT503,2.5846544087862178,adjacent_stage
PIT501,AIT402,2.0400766258064786,adjacent_stage
PIT501,AIT502,1.8226959855239624,adjacent_stage
PIT501,AIT501,1.4277329696720589,adjacent_stage
PIT501,FIT503,1.3250731818746697,adjacent_stage
PIT502,AIT402,1.0509282448810335,adjacent_stage
PIT502,AIT502,0.9094224419196397,adjacent_stage
PIT502,AIT501,0.8732984931926193,adjacent_stage
PIT502,FIT601,0.5206631079818091,adjacent_stage
PIT502,AIT504,0.4753218794715979,adjacent_stage
PIT503,PIT501,2.5855787748416725,adjacent_stage
PIT503,AIT402,2.045918565292479,adjacent_stage
PIT503,AIT502,1.8340646795607398,adjacent_stage
PIT503,AIT501,1.4283821055304964,adjacent_stage
PIT503,FIT503,1.3981891536459061,adjacent_stage
FIT601,AIT502,0.6171409865689519,adjacent_stage
FIT601,AIT501,0.5222744112020834,adjacent_stage
FIT601,PIT502,0.5211505518459223,adjacent_stage
FIT601,FIT503,0.4640589642136739,adjacent_stage
FIT601,PIT503,0.4587533516468625,adjacent_stage
